"BorrowerState","MeanIncome","PctNonPerf","PctNonPerf_Fitted_withMeanIncome","PaymentDTI","PctNonPerf_Fitted_withPaymentDTI","Total"
"AK",5880.617499955,0.148148148148148,0.303939532553655,0.0518673931780691,0.322850056182076,54
"AL",4759.90574746992,0.429245283018868,0.333237352706968,0.0523800843274358,0.325168447226611,636
"AR",4851.8905458269,0.225806451612903,0.33083267186631,0.0522986082250484,0.324800012026683,155
"AZ",5347.03169384797,0.39167862266858,0.317888615312018,0.0506860480413488,0.317508009632491,697
"CA",6184.82923942978,0.340808005930319,0.295986782159189,0.0481273172552098,0.305937420697442,5396
"CO",5647.53559578281,0.231843575418994,0.310032795780606,0.0492334033977001,0.310939145830402,716
"CT",7394.69688587892,0.208609271523179,0.264358234821856,0.0396956802393214,0.267809530694757,302
"DC",6822.25196335864,0.12037037037037,0.279323178618053,0.0495350437880705,0.312303164656489,108
"DE",5754.26333333333,0.25,0.3072427027409,0.0482813728255977,0.306634060487673,68
"FL",5399.21631944881,0.313725490196078,0.316524396749813,0.0498973750608484,0.31394162785017,1989
"GA",5460.78364617193,0.385575589459085,0.314914894162181,0.0504099998959155,0.316259719021227,2163
"HI",6221.87978811247,0.288659793814433,0.295018200978988,0.0466521404567362,0.299266666417967,97
"IA",3714.39695341398,0.360215053763441,0.36056920547735,0.0513670699618351,0.320587592971384,186
"ID",4182.10517529215,0.356862745098039,0.348342304725727,0.0596320079071295,0.357961669234794,255
"IL",5590.82034284935,0.346456692913386,0.311515454704017,0.0492626269466497,0.311071294813777,2286
"IN",5094.87612287777,0.278125,0.324480505289579,0.0509962896775095,0.318910923320011,640
"KS",5148.67765222976,0.29136690647482,0.323074017379166,0.0514053499069931,0.320760695007862,278
"KY",4929.38826722991,0.224598930481283,0.328806714434417,0.0555112574555175,0.339327622293315,187
"LA",5274.87692173899,0.306122448979592,0.319774896536217,0.0522757872660669,0.324696815575962,196
"MA",6190.18952571231,0.243980738362761,0.295846652725257,0.0490709223495213,0.310204406002204,623
"MD",6516.03208081921,0.301418439716312,0.287328426199436,0.0460461257543145,0.296526265963061,846
"ME",3635.3201319802,0.366336633663366,0.362636443986739,0.045869276678988,0.295726553869381,101
"MI",4932.19113554356,0.338915470494418,0.328733441416993,0.0506299669307088,0.317254410667821,1254
"MN",4912.89556370707,0.309265944645006,0.329237869243477,0.0522071804785444,0.324386575459699,831
"MO",4710.87683238088,0.392632524707996,0.334519074196375,0.0502052306097447,0.315333751643322,1113
"MS",4923.62685304447,0.279329608938547,0.328957330216093,0.0548786267976438,0.336466864401309,179
"MT",4235.04671718485,0.35036496350365,0.346958298740627,0.0566276319204531,0.344375871253826,137
"NC",5425.28261456971,0.292537313432836,0.315842967626917,0.0476906342016825,0.303962738509446,1005
"ND",3280.01762817308,0.288461538461538,0.371924817052767,0.0457693365669037,0.295274624357565,52
"NE",4796.57010385312,0.193181818181818,0.332278867425655,0.0551480614896495,0.337685248954669,176
"NH",5855.35601936661,0.379084967320261,0.304599922090433,0.0529728940886033,0.327849134894228,153
"NJ",6807.01996555473,0.233704292527822,0.279721375863014,0.0445196829471335,0.289623686625512,629
"NM",5545.59604519068,0.344632768361582,0.31269771529549,0.0516270481845823,0.321763215340008,177
"NV",5589.20405199908,0.229050279329609,0.311557708029675,0.0524637207085136,0.325546651213802,179
"NY",6225.88090107535,0.185375240538807,0.29491360326442,0.0461104737290505,0.296817247714055,1559
"OH",4964.92730918513,0.285596026490066,0.327877647297112,0.0524915521012377,0.325672504862199,1208
"OK",4931.01862341401,0.276276276276276,0.328764093410624,0.0525440867342503,0.325910066643507,333
"OR",5662.28549809686,0.3458177278402,0.309647201550584,0.0437522211661861,0.286153221956541,801
"PA",5415.84230596837,0.228995057660626,0.316089757636016,0.0499314286365002,0.314095618229999,607
"RI",5533.77720306897,0.308823529411765,0.313006685296148,0.0498725593850889,0.313829411283694,68
"SC",5230.9362745,0.243027888446215,0.320923599739671,0.0519130607611786,0.323056565141393,251
"SD",4323.24735449735,0.291666666666667,0.344652544023895,0.0590947366810724,0.355532127003539,24
"TN",5051.21181155325,0.258620689655172,0.325621984476771,0.0521699968084439,0.324218430782596,406
"TX",6134.47291240529,0.369733924611973,0.297303205056935,0.0481460000644278,0.306021904421476,1804
"UT",4747.76007221779,0.301075268817204,0.333554866829925,0.054299505936353,0.333848077983446,465
"VA",6508.57430852227,0.184684684684685,0.28752338843751,0.0443956619715136,0.289062863370484,888
"VT",4817.73913044928,0.142857142857143,0.331725463454777,0.05391316511427,0.332101043529737,49
"WA",5379.54965003806,0.312039312039312,0.31703852586654,0.0481491490997102,0.306036144369263,1221
"WI",4920.91232357166,0.241448692152918,0.329028293865861,0.0544844734913075,0.334684501868402,497
"WV",4971.73934354987,0.285714285714286,0.327699566040041,0.0519535768259535,0.32323977891805,112
"WY",5300.47833330667,0.166666666666667,0.319105620471148,0.0492570135968194,0.311045911227592,42
