BorrowerState,NAME,MeanIncome,PctNonPerf,PctNonPerf_Fitted_withMeanIncome,PctNonPerf_Residual,PaymentDTI,PctNonPerf_Fitted_withPaymentDTI,Total,Census2010Pop,LandArea
AL,Alabama,4759.905747,0.429245283,0.333237353,0.09600793,0.052380084,0.325168447,636,4779736,50645
AZ,Arizona,5347.031694,0.391678623,0.317888615,0.073790008,0.050686048,0.31750801,697,6392017,113594
AR,Arkansas,4851.890546,0.225806452,0.330832672,-0.10502622,0.052298608,0.324800012,155,2915918,52035
CA,California,6184.829239,0.340808006,0.295986782,0.044821224,0.048127317,0.305937421,5396,37253956,155779
CO,Colorado,5647.535596,0.231843575,0.310032796,-0.078189221,0.049233403,0.310939146,716,5029196,103642
CT,Connecticut,7394.696886,0.208609272,0.264358235,-0.055748963,0.03969568,0.267809531,302,3574097,4842
DE,Delaware,5754.263333,0.25,0.307242703,-0.057242703,0.048281373,0.30663406,68,897934,1949
DC,District of Columbia,6822.251963,0.12037037,0.279323179,-0.158952809,0.049535044,0.312303165,108,601723,61
FL,Florida,5399.216319,0.31372549,0.316524397,-0.002798907,0.049897375,0.313941628,1989,18801310,53625
GA,Georgia,5460.783646,0.385575589,0.314914894,0.070660695,0.05041,0.316259719,2163,9687653,57513
ID,Idaho,4182.105175,0.356862745,0.348342305,0.00852044,0.059632008,0.357961669,255,1567582,82643
IL,Illinois,5590.820343,0.346456693,0.311515455,0.034941238,0.049262627,0.311071295,2286,12830632,55519
IN,Indiana,5094.876123,0.278125,0.324480505,-0.046355505,0.05099629,0.318910923,640,6483802,35826
IA,Iowa,3714.396953,0.360215054,0.360569205,-0.000354151,0.05136707,0.320587593,186,3046355,55857
KS,Kansas,5148.677652,0.291366906,0.323074017,-0.031707111,0.05140535,0.320760695,278,2853118,81759
KY,Kentucky,4929.388267,0.22459893,0.328806714,-0.104207784,0.055511257,0.339327622,187,4339367,39486
LA,Louisiana,5274.876922,0.306122449,0.319774897,-0.013652448,0.052275787,0.324696816,196,4533372,43204
ME,Maine,3635.320132,0.366336634,0.362636444,0.00370019,0.045869277,0.295726554,101,1328361,30843
MD,Maryland,6516.032081,0.30141844,0.287328426,0.014090014,0.046046126,0.296526266,846,5773552,9707
MA,Massachusetts,6190.189526,0.243980738,0.295846653,-0.051865915,0.049070922,0.310204406,623,6547629,7800
MI,Michigan,4932.191136,0.33891547,0.328733441,0.010182029,0.050629967,0.317254411,1254,9883640,56539
MN,Minnesota,4912.895564,0.309265945,0.329237869,-0.019971924,0.05220718,0.324386575,831,5303925,79627
MS,Mississippi,4923.626853,0.279329609,0.32895733,-0.049627721,0.054878627,0.336466864,179,2967297,46923
MO,Missouri,4710.876832,0.392632525,0.334519074,0.058113451,0.050205231,0.315333752,1113,5988927,68742
MT,Montana,4235.046717,0.350364964,0.346958299,0.003406665,0.056627632,0.344375871,137,989415,145546
NE,Nebraska,4796.570104,0.193181818,0.332278867,-0.139097049,0.055148061,0.337685249,176,1826341,76824
NV,Nevada,5589.204052,0.229050279,0.311557708,-0.082507429,0.052463721,0.325546651,179,2700551,109781
NH,New Hampshire,5855.356019,0.379084967,0.304599922,0.074485045,0.052972894,0.327849135,153,1316470,8953
NJ,New Jersey,6807.019966,0.233704293,0.279721376,-0.046017083,0.044519683,0.289623687,629,8791894,7354
NM,New Mexico,5545.596045,0.344632768,0.312697715,0.031935053,0.051627048,0.321763215,177,2059179,121298
NY,New York,6225.880901,0.185375241,0.294913603,-0.109538362,0.046110474,0.296817248,1559,19378102,47126
NC,North Carolina,5425.282615,0.292537313,0.315842968,-0.023305655,0.047690634,0.303962739,1005,9535483,48618
ND,North Dakota,3280.017628,0.288461538,0.371924817,-0.083463279,0.045769337,0.295274624,52,672591,69001
OH,Ohio,4964.927309,0.285596026,0.327877647,-0.042281621,0.052491552,0.325672505,1208,11536504,40861
OK,Oklahoma,4931.018623,0.276276276,0.328764093,-0.052487817,0.052544087,0.325910067,333,3751351,68595
OR,Oregon,5662.285498,0.345817728,0.309647202,0.036170526,0.043752221,0.286153222,801,3831074,95988
PA,Pennsylvania,5415.842306,0.228995058,0.316089758,-0.0870947,0.049931429,0.314095618,607,12702379,44743
RI,Rhode Island,5533.777203,0.308823529,0.313006685,-0.004183156,0.049872559,0.313829411,68,1052567,1034
SC,South Carolina,5230.936275,0.243027888,0.3209236,-0.077895712,0.051913061,0.323056565,251,4625364,30061
SD,South Dakota,4323.247354,0.291666667,0.344652544,-0.052985877,0.059094737,0.355532127,24,814180,75811
TN,Tennessee,5051.211812,0.25862069,0.325621984,-0.067001294,0.052169997,0.324218431,406,6346105,41235
TX,Texas,6134.472912,0.369733925,0.297303205,0.07243072,0.048146,0.306021904,1804,25145561,261232
UT,Utah,4747.760072,0.301075269,0.333554867,-0.032479598,0.054299506,0.333848078,465,2763885,82170
VT,Vermont,4817.73913,0.142857143,0.331725463,-0.18886832,0.053913165,0.332101044,49,625741,9217
VA,Virginia,6508.574309,0.184684685,0.287523388,-0.102838703,0.044395662,0.289062863,888,8001024,39490
WA,Washington,5379.54965,0.312039312,0.317038526,-0.004999214,0.048149149,0.306036144,1221,6724540,66456
WV,West Virginia,4971.739344,0.285714286,0.327699566,-0.04198528,0.051953577,0.323239779,112,1852994,24038
WI,Wisconsin,4920.912324,0.241448692,0.329028294,-0.087579602,0.054484473,0.334684502,497,5686986,54158
WY,Wyoming,5300.478333,0.166666667,0.31910562,-0.152438953,0.049257014,0.311045911,42,563626,97093
